company,title,role_category,location_type,first_seen_utc,priority_score,source_domain,url,search_query,snippet
Primary...,"Remote VP, Product Development and Sourcing at Primary...",VP - Product Development & Sourcing,Remote,2026-08-07T16:34:03+00:00,45,4dayweek.io,https://4dayweek.io/remote-job/vp-product-development-and-sourcing-primary,"""VP Product Development"" (""New York"" OR remote)","Primary is hiring a Remote VP, Product Development and Sourcing on a 4 day work week. Are you ready to join the team?"
Built In NYC Primary.com,"VP, Product Development and Sourcing - Primary.com | Built In NYC",VP - Product Development & Sourcing,NYC,2026-08-07T16:34:03+00:00,45,builtinnyc.com,https://www.builtinnyc.com/job/vp-product-development-and-sourcing/264253,"""VP Product Development"" (""New York"" OR remote)","Primary.com is hiring for a VP, Product Development and Sourcing in New York, NY, USA."
Hevodata,Hevo Data - VP Product Marketing,VP - Product,Remote - USA,2026-08-07T16:48:41+00:00,42,jobs.lever.co,https://jobs.lever.co/hevodata/ec8d8975-d200-4c20-a53c-e095c964230e,"site:lever.co (""VP Product"" OR ""VP Product Development"" OR ""Director Product Development"" OR ""Director Sourcing"" OR ""Category Director"" OR ""Category Manager"") ""United States""",VP Product Marketing United States Marketing – Product Marketing / Full time / Remote
Learning A-Z - EdTech Jobs,"Vice President, Product Development at Learning A-Z - EdTech Jobs",VP - Product Development,Remote,2026-08-07T16:34:11+00:00,40,edtechjobs.io,https://edtechjobs.io/jobs/162850156-vice-president-product-development,"""Vice President of Product Development"" (""New York"" OR remote)","September 15, 2025 - Location: Remote position based in the United States with no travel requirements. Compensation: Not provided by employer. Typical compensation ranges for this position are between $175,000 - $250,000."
Starr Insurance ...,Vice President – Product Development Leader - Starr Insurance ...,VP - Product Development,NYC,2026-08-07T16:34:07+00:00,40,builtinnyc.com,https://www.builtinnyc.com/job/vice-president-product-development-leader/10316368,"""Vice President Product Development"" (""New York"" OR remote)","Starr Insurance is hiring for a Vice President – Product Development Leader in Parkside, New York, NY, USA. Find more details about the job and how to apply at Built In NYC."
Built In NYC Maiden Home,"Vice President, Product Development - Maiden Home | Built In NYC",VP - Product Development,NYC,2026-08-07T16:34:07+00:00,40,builtinnyc.com,https://www.builtinnyc.com/job/vice-president-product-development/8116364,"""Vice President Product Development"" (""New York"" OR remote)","Maiden Home is hiring for a Vice President, Product Development in New York, NY, USA.As our Vice President of Product Development, you will lead Maiden Home’s product development function end-to-end, from concept through launch and lifecycle management."
Teal,What is a VP of Product Development? - Career Insights | Teal,VP - Product Development,Remote,2026-08-07T16:34:05+00:00,40,tealhq.com,https://www.tealhq.com/career-paths/vp-of-product-development,"""VP of Product Development"" (""New York"" OR remote)","March 25, 2026 - Companies in major markets like San Francisco, New York, and Boston typically offer higher compensation than regional markets. Work-life balance for VPs of Product Development has evolved beyond a simple 9-to-5 arrangement. Modern balance means: Flexible work arrangements – Remote and hybrid options during less critical phases"
Food Management Search,VP of Product Development - Food Management Search,VP - Product Development,NYC,2026-08-07T16:34:05+00:00,40,foodmanagementsearch.com,https://foodmanagementsearch.com/job/vp-of-product-development,"""VP of Product Development"" (""New York"" OR remote)","VP of Product Development. New York, NY. Add to your favorites.This person will connect design, technical, and production in New York and China, creating a one team culture."
DIRTT...,"VP, Product Development & Strategy - Remote - DIRTT...",VP - Product Development,Remote,2026-08-07T16:34:03+00:00,40,theladders.com,https://www.theladders.com/job/vp-product-development-strategy-dirttenvironmentalsolutionsltd-virtual-travel_79105257?ir=1,"""VP Product Development"" (""New York"" OR remote)","DIRTT Environmental Solutions Ltd. is hiring a VP, Product Development & Strategy, with an estimated salary of $150,000 - $200,000.VP, Product Development & Strategy. Company Name. US-Anywhere."
Behance,"Jason Simon - VP Product Development in New York, NY... :: Behance",VP - Product Development,NYC,2026-08-07T16:34:03+00:00,40,behance.net,https://www.behance.net/jasonsimon/moodboards,"""VP Product Development"" (""New York"" OR remote)","Jason Simon. VP Product Development. New York, NY, USA. Follow."
